version,model,optim,date,numb_epochs,accuracy,balanced_accuracy,precision,recall,tp,fp,tn,fn,f1
1.0,resnet50,Adam,25-05-21,200,73.04442627418916,71.1776863743087,0.8811630847029077,0.7473195139385275,2091,282,589,707,0.8087410558886096
1.1,resnet50,Adam,26-05-21,200,70.03270645952576,71.62715664036327,0.8952180028129395,0.6855142703284868,1273,149,440,584,0.7764562366575176
1.2,resnet50,Adam,31-05-21,200,76.41046606704825,78.08809506177245,0.9266666666666666,0.7485191168551427,1390,110,479,467,0.8281203455466191
1.3,resnet50,Adam,02-06-21,200,75.91986917416192,50.0,0.7591986917416189,1.0,1857,589,0,0,0.863118754357425
2.0,vgg16,SGD,07-06-21,200,82.17497955846281,75.56641094632988,0.8821947283485745,0.8831448572967151,1640,219,370,217,0.8826695371367062
3.0,vgg16,Adam,06-06-21,200,24.080130825838104,50.0,0.0,0.0,0,0,589,1857,0.0
4.0,mobilenetv2,Adam,06-06-21,200,64.51349141455437,72.33959880157951,0.9349164467897976,0.5724286483575661,1063,74,515,794,0.7100868403473614
5.0,mobilenetv2,SGD,07-06-21,200,60.22076860179886,70.38192568293424,0.941117764471058,0.5078082929456113,943,59,530,914,0.6596712137110878
6.0,resnet50,SGD,08-06-21,200,39.73834832379396,59.384899791821525,0.9614457831325302,0.2148626817447496,399,16,573,1458,0.3512323943661972
7.0,resnet50,Adam,08-06-21,200,74.52984464431725,77.13936072658589,0.9272853185595568,0.7210554658050621,1339,105,484,518,0.8112693123295971
8.0,vgg16,SGD,08-06-21,200,81.35731807031887,76.18719789206723,0.8893829905503057,0.8616047388260636,1600,199,390,257,0.8752735229759299
9.0,mobilenetv2,Adam,09-06-21,200,63.81847914963205,72.63540972395555,0.9442413162705668,0.5562735595045772,1033,61,528,824,0.7001016604540834
10.1,resnet50,Adam,15-06-21,200,74.96796240922683,77.31358529111334,0.927038626609442,0.7280898876404495,1296,102,459,484,0.8156073001887979
10.2,resnet50,Adam,16-06-21,200,76.93293464331481,76.10321656752582,0.9062909567496724,0.7769662921348315,1383,143,418,397,0.8366606170598909
10.3,resnet50,Adam,16-06-21,200,76.07859888936352,77.86081235354199,0.9265734265734266,0.7443820224719101,1325,105,456,455,0.8255451713395638
10.4,resnet50,Adam,18-06-21,200,83.51131994873984,72.31118187826718,0.8581706063720452,0.9382022471910112,1670,276,285,110,0.8964036500268383
11.1,mobilenetv2,Adam,19-06-21,200,84.53652285348143,74.99954936009141,0.8723739495798319,0.9331460674157304,1661,243,318,119,0.9017372421281216
11.2,mobilenetv2,Adam,19-06-21,200,84.62195642887654,74.99469246329797,0.8721174004192872,0.9348314606741572,1664,244,317,116,0.9023861171366594
11.3,mobilenetv2,Adam,22-06-21,200,84.15207176420333,71.02350337479223,0.8492811105602379,0.9623595505617978,1713,304,257,67,0.9022912825915196
12.1,vgg16,SGD,23-06-21,200,78.4280222127296,55.1131606881772,0.7794826830337571,0.9988764044943822,1778,503,58,2,0.8756463925141591
12.2,vgg16,SGD,24-06-21,200,78.59888936351986,55.46966692703638,0.7808519982433025,0.9988764044943822,1778,499,62,2,0.8765097362583191
12.3,vgg16,SGD,25-06-21,200,81.1191798376762,75.13278855975476,0.8831615120274914,0.8662921348314607,1542,204,357,238,0.8746454906409529
13.1,vgg16,Adam,28-06-21,200,23.964117898334045,50.0,0.0,0.0,0,0,561,1780,0.0
13.2,vgg16,Adam,29-06-21,200,76.03588210166595,50.0,0.7603588210166595,1.0,1780,561,0,0,0.8638679932055325
13.3,vgg16,Adam,01-07-21,200,76.03588210166595,50.0,0.7603588210166595,1.0,1780,561,0,0,0.8638679932055325
14.1,densenet121,Adam,02-07-21,200,80.30756087142247,63.24625968875806,0.8141972367794188,0.9601123595505618,1709,390,171,71,0.8811549368393917
14.2,densenet121,Adam,03-07-21,200,86.15976078598891,73.93068156782634,0.8618290258449304,0.9741573033707864,1734,278,283,46,0.9145569620253164
14.3,densenet121,Adam,04-07-21,200,85.26270824434002,72.7914638787078,0.8571428571428571,0.9674157303370786,1722,287,274,58,0.908946951702296
16.1,resnet50,SGD,05-07-21,200,81.97351559162752,65.9897554527429,0.8258157389635317,0.9668539325842695,1721,363,198,59,0.8907867494824017
16.2,resnet50,SGD,06-07-21,200,81.07646304997864,64.72846441947567,0.8206235011990408,0.9612359550561798,1711,374,187,69,0.8853816300129366
16.3,resnet50,SGD,07-07-21,200,81.20461341307134,65.17895411484311,0.8227360308285164,0.9595505617977528,1708,368,193,72,0.8858921161825727
17.1,mobilenetv2,SGD,07-07-21,200,80.99102947458351,61.620451040477505,0.8057718735684838,0.9882022471910112,1759,424,137,21,0.8877113298006561
17.2,mobilenetv2,SGD,07-07-21,200,81.37548056386159,61.93429670131587,0.8068493150684931,0.9926966292134832,1767,423,138,13,0.8901763224181359
17.3,mobilenetv2,SGD,08-07-21,200,81.29004698846647,61.6339702377376,0.8055555555555556,0.9938202247191013,1769,427,134,11,0.8898390342052314
18.1,densenet121,SGD,08-07-21,200,81.03374626228107,62.99134771375354,0.8121495327102803,0.9764044943820224,1738,402,159,42,0.886734693877551
18.2,densenet121,SGD,09-07-21,200,80.69201196070055,61.30174848284565,0.8045871559633028,0.9853932584269663,1754,426,135,26,0.8858585858585859
18.3,densenet121,SGD,09-07-21,200,81.33276377616403,62.76072022271626,0.8107357704766311,0.9842696629213483,1752,409,152,28,0.8891144379599086
